"PowerUp Category Navigation","PowerUp Category Navigation"
"WARNING: Disabling this without triggering it in your code will cause Klevu to stop working. Only change if you are certain you have the required customisation in place. JSv2 setting <code>powerUp.catnav</code>.","WARNING: Disabling this without triggering it in your code will cause Klevu to stop working. Only change if you are certain you have the required customisation in place. JSv2 setting <code>powerUp.catnav</code>."
"Category Navigation","Category Navigation"
"Ordering &amp; Rendering","Ordering &amp; Rendering"
"<strong>Native:</strong> Klevu will be disabled, and will not power the rendering or result ordering of your search results page.<br /><strong>Klevu JS Theme:</strong> Use Klevu's JavaScript Theme to render and order the results of your search results page. Recommended for best results.<br />","<strong>Native:</strong> Klevu will be disabled, and will not power the rendering or result ordering of your search results page.<br /><strong>Klevu JS Theme:</strong> Use Klevu's JavaScript Theme to render and order the results of your search results page. Recommended for best results.<br />"
"Infinite Scroll Enabled","Infinite Scroll Enabled"
"Enable infinite scroll on search results landing page.","Enable infinite scroll on search results landing page."
"Infinite Scroll Pixels","Infinite Scroll Pixels"
"Number of pixels from bottom of search results landing page that triggers infinite scroll. JSv2 setting <code>search.infiniteScrollOffsetLanding</code>.","Number of pixels from bottom of search results landing page that triggers infinite scroll. JSv2 setting <code>search.infiniteScrollOffsetLanding</code>."
"Native Magento","Native Magento"
"Klevu JS Theme","Klevu JS Theme"
